Filename,Directory,Temporal_Class,Ground_Truth_Label,Lcrosvila_Prediction,Lcrosvila_Confidence_AI,Lcrosvila_Confidence_Human,Mippia_Prediction,Mippia_Confidence_AI,Mippia_Confidence_Human
human_track_001.mp3,human_tracks_120s,120s,Human,Human,0.003,0.997,Human,0.011,0.989
human_track_002.mp3,human_tracks_120s,120s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_003.mp3,human_tracks_120s,120s,Human,Human,0.004,0.996,Human,0.011,0.989
human_track_004.mp3,human_tracks_120s,120s,Human,Human,0.009,0.991,Human,0.011,0.989
human_track_005.mp3,human_tracks_120s,120s,Human,Human,0.017,0.983,Human,0.011,0.989
human_track_006.mp3,human_tracks_120s,120s,Human,Human,0.004,0.996,Human,0.011,0.989
human_track_007.mp3,human_tracks_120s,120s,Human,Human,0.003,0.997,Human,0.011,0.989
human_track_008.mp3,human_tracks_120s,120s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_009.mp3,human_tracks_120s,120s,Human,Human,0.01,0.99,Human,0.011,0.989
human_track_010.mp3,human_tracks_120s,120s,Human,Human,0.003,0.997,Human,0.011,0.989
human_track_011.mp3,human_tracks_120s,120s,Human,Human,0.112,0.888,Human,0.011,0.989
human_track_012.mp3,human_tracks_120s,120s,Human,Human,0.005,0.995,Human,0.011,0.989
human_track_013.mp3,human_tracks_120s,120s,Human,Human,0.001,0.999,Human,0.277,0.723
human_track_014.mp3,human_tracks_120s,120s,Human,Human,0.017,0.983,Human,0.011,0.989
human_track_015.mp3,human_tracks_120s,120s,Human,Human,0.014,0.986,Human,0.011,0.989
human_track_016.mp3,human_tracks_120s,120s,Human,Human,0.02,0.98,Human,0.011,0.989
human_track_017.mp3,human_tracks_120s,120s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_018.mp3,human_tracks_120s,120s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_019.mp3,human_tracks_120s,120s,Human,Human,0.012,0.988,Human,0.011,0.989
human_track_020.mp3,human_tracks_120s,120s,Human,Human,0.012,0.988,Human,0.011,0.989
human_track_021.mp3,human_tracks_120s,120s,Human,Human,0.005,0.995,Human,0.011,0.989
human_track_022.mp3,human_tracks_120s,120s,Human,Human,0.017,0.983,AI,0.54,0.46
human_track_023.mp3,human_tracks_120s,120s,Human,Human,0.006,0.994,AI,0.54,0.46
human_track_024.mp3,human_tracks_120s,120s,Human,Human,0.025,0.975,Human,0.011,0.989
human_track_025.mp3,human_tracks_120s,120s,Human,Human,0.027,0.973,Human,0.011,0.989
human_track_026.mp3,human_tracks_120s,120s,Human,Human,0.002,0.998,AI,0.54,0.46
human_track_027.mp3,human_tracks_120s,120s,Human,Human,0.031,0.969,Human,0.011,0.989
human_track_028.mp3,human_tracks_120s,120s,Human,Human,0.02,0.98,Human,0.011,0.989
human_track_029.mp3,human_tracks_120s,120s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_030.mp3,human_tracks_120s,120s,Human,Human,0.016,0.984,Human,0.011,0.989
human_track_031.mp3,human_tracks_120s,120s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_032.mp3,human_tracks_120s,120s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_033.mp3,human_tracks_120s,120s,Human,Human,0.007,0.993,Human,0.011,0.989
human_track_034.mp3,human_tracks_120s,120s,Human,Human,0.351,0.649,Human,0.011,0.989
human_track_035.mp3,human_tracks_120s,120s,Human,Human,0.11,0.89,Human,0.011,0.989
human_track_036.mp3,human_tracks_120s,120s,Human,Human,0.017,0.983,Human,0.011,0.989
human_track_037.mp3,human_tracks_120s,120s,Human,Human,0.0,1.0,Human,0.011,0.989
human_track_038.mp3,human_tracks_120s,120s,Human,Human,0.173,0.827,Human,0.011,0.989
human_track_039.mp3,human_tracks_120s,120s,Human,Human,0.008,0.992,Human,0.011,0.989
human_track_040.mp3,human_tracks_120s,120s,Human,Human,0.009,0.991,Human,0.011,0.989
human_track_041.mp3,human_tracks_120s,120s,Human,Human,0.014,0.986,Human,0.011,0.989
human_track_042.mp3,human_tracks_120s,120s,Human,Human,0.02,0.98,Human,0.011,0.989
human_track_043.mp3,human_tracks_120s,120s,Human,Human,0.046,0.954,Human,0.433,0.567
human_track_044.mp3,human_tracks_120s,120s,Human,Human,0.029,0.971,AI,0.989,0.011
human_track_045.mp3,human_tracks_120s,120s,Human,Human,0.005,0.995,Human,0.011,0.989
human_track_046.mp3,human_tracks_120s,120s,Human,Human,0.021,0.979,AI,0.989,0.011
human_track_047.mp3,human_tracks_120s,120s,Human,Human,0.033,0.967,AI,0.989,0.011
human_track_048.mp3,human_tracks_120s,120s,Human,AI,0.953,0.047,Human,0.011,0.989
human_track_049.mp3,human_tracks_120s,120s,Human,Human,0.022,0.978,Human,0.011,0.989
human_track_050.mp3,human_tracks_120s,120s,Human,AI,0.61,0.39,Human,0.011,0.989
human_track_051.mp3,human_tracks_120s,120s,Human,Human,0.252,0.748,Human,0.011,0.989
human_track_052.mp3,human_tracks_120s,120s,Human,Human,0.009,0.991,Human,0.011,0.989
human_track_053.mp3,human_tracks_120s,120s,Human,Human,0.02,0.98,Human,0.011,0.989
human_track_054.mp3,human_tracks_120s,120s,Human,Human,0.089,0.911,Human,0.011,0.989
human_track_055.mp3,human_tracks_120s,120s,Human,Human,0.019,0.981,Human,0.011,0.989
human_track_056.mp3,human_tracks_120s,120s,Human,Human,0.27,0.73,Human,0.011,0.989
human_track_057.mp3,human_tracks_120s,120s,Human,Human,0.031,0.969,Human,0.011,0.989
human_track_058.mp3,human_tracks_120s,120s,Human,Human,0.003,0.997,Human,0.011,0.989
human_track_059.mp3,human_tracks_120s,120s,Human,Human,0.011,0.989,Human,0.011,0.989
human_track_060.mp3,human_tracks_120s,120s,Human,Human,0.004,0.996,Human,0.011,0.989
human_track_061.mp3,human_tracks_120s,120s,Human,Human,0.006,0.994,Human,0.011,0.989
human_track_062.mp3,human_tracks_120s,120s,Human,Human,0.174,0.826,Human,0.011,0.989
human_track_063.mp3,human_tracks_120s,120s,Human,Human,0.494,0.506,Human,0.011,0.989
human_track_064.mp3,human_tracks_120s,120s,Human,Human,0.289,0.711,Human,0.011,0.989
human_track_065.mp3,human_tracks_120s,120s,Human,Human,0.032,0.968,Human,0.011,0.989
human_track_066.mp3,human_tracks_120s,120s,Human,Human,0.011,0.989,Human,0.011,0.989
human_track_067.mp3,human_tracks_120s,120s,Human,Human,0.077,0.923,Human,0.011,0.989
human_track_068.mp3,human_tracks_120s,120s,Human,Human,0.008,0.992,Human,0.011,0.989
human_track_069.mp3,human_tracks_120s,120s,Human,Human,0.036,0.964,Human,0.011,0.989
human_track_070.mp3,human_tracks_120s,120s,Human,Human,0.0,1.0,Human,0.011,0.989
human_track_071.mp3,human_tracks_120s,120s,Human,Human,0.157,0.843,Human,0.011,0.989
human_track_072.mp3,human_tracks_120s,120s,Human,Human,0.033,0.967,Human,0.011,0.989
human_track_073.mp3,human_tracks_120s,120s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_074.mp3,human_tracks_120s,120s,Human,Human,0.006,0.994,Human,0.011,0.989
human_track_075.mp3,human_tracks_120s,120s,Human,Human,0.025,0.975,Human,0.011,0.989
human_track_076.mp3,human_tracks_120s,120s,Human,Human,0.025,0.975,Human,0.011,0.989
human_track_077.mp3,human_tracks_120s,120s,Human,Human,0.003,0.997,Human,0.011,0.989
human_track_078.mp3,human_tracks_120s,120s,Human,Human,0.008,0.992,Human,0.071,0.929
human_track_079.mp3,human_tracks_120s,120s,Human,Human,0.058,0.942,Human,0.011,0.989
human_track_080.mp3,human_tracks_120s,120s,Human,Human,0.004,0.996,Human,0.011,0.989
human_track_081.mp3,human_tracks_120s,120s,Human,Human,0.005,0.995,Human,0.011,0.989
human_track_082.mp3,human_tracks_120s,120s,Human,Human,0.005,0.995,Human,0.011,0.989
human_track_083.mp3,human_tracks_120s,120s,Human,Human,0.012,0.988,Human,0.011,0.989
human_track_084.mp3,human_tracks_120s,120s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_085.mp3,human_tracks_120s,120s,Human,Human,0.328,0.672,Human,0.011,0.989
human_track_086.mp3,human_tracks_120s,120s,Human,Human,0.034,0.966,Human,0.011,0.989
human_track_087.mp3,human_tracks_120s,120s,Human,Human,0.046,0.954,Human,0.011,0.989
human_track_088.mp3,human_tracks_120s,120s,Human,Human,0.003,0.997,Human,0.011,0.989
human_track_089.mp3,human_tracks_120s,120s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_090.mp3,human_tracks_120s,120s,Human,Human,0.02,0.98,Human,0.011,0.989
human_track_091.mp3,human_tracks_120s,120s,Human,Human,0.011,0.989,Human,0.011,0.989
human_track_092.mp3,human_tracks_120s,120s,Human,Human,0.01,0.99,Human,0.011,0.989
human_track_093.mp3,human_tracks_120s,120s,Human,Human,0.005,0.995,Human,0.011,0.989
human_track_094.mp3,human_tracks_120s,120s,Human,Human,0.003,0.997,Human,0.011,0.989
human_track_095.mp3,human_tracks_120s,120s,Human,Human,0.004,0.996,Human,0.011,0.989
human_track_096.m4a,human_tracks_120s,120s,Human,Human,0.031,0.969,AI,0.989,0.011
human_track_097.m4a,human_tracks_120s,120s,Human,Human,0.012,0.988,Human,0.043,0.957
human_track_098.m4a,human_tracks_120s,120s,Human,Human,0.158,0.842,Human,0.011,0.989
human_track_099.m4a,human_tracks_120s,120s,Human,Human,0.001,0.999,AI,0.815,0.185
human_track_100.m4a,human_tracks_120s,120s,Human,Human,0.093,0.907,Human,0.011,0.989
human_track_001.mp3,human_tracks_10s,10s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_002.mp3,human_tracks_10s,10s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_003.mp3,human_tracks_10s,10s,Human,Human,0.01,0.99,Human,0.011,0.989
human_track_004.mp3,human_tracks_10s,10s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_005.mp3,human_tracks_10s,10s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_006.mp3,human_tracks_10s,10s,Human,Human,0.013,0.987,Human,0.011,0.989
human_track_007.mp3,human_tracks_10s,10s,Human,Human,0.01,0.99,Human,0.011,0.989
human_track_008.mp3,human_tracks_10s,10s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_009.mp3,human_tracks_10s,10s,Human,Human,0.042,0.958,Human,0.011,0.989
human_track_010.mp3,human_tracks_10s,10s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_011.mp3,human_tracks_10s,10s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_012.mp3,human_tracks_10s,10s,Human,Human,0.009,0.991,Human,0.011,0.989
human_track_013.mp3,human_tracks_10s,10s,Human,Human,0.0,1.0,Human,0.011,0.989
human_track_014.mp3,human_tracks_10s,10s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_015.mp3,human_tracks_10s,10s,Human,Human,0.032,0.968,Human,0.011,0.989
human_track_016.mp3,human_tracks_10s,10s,Human,Human,0.005,0.995,Human,0.011,0.989
human_track_017.mp3,human_tracks_10s,10s,Human,Human,0.008,0.992,Human,0.011,0.989
human_track_018.mp3,human_tracks_10s,10s,Human,Human,0.0,1.0,Human,0.011,0.989
human_track_019.mp3,human_tracks_10s,10s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_020.mp3,human_tracks_10s,10s,Human,Human,0.128,0.872,Human,0.011,0.989
human_track_021.mp3,human_tracks_10s,10s,Human,Human,0.029,0.971,Human,0.011,0.989
human_track_022.mp3,human_tracks_10s,10s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_023.mp3,human_tracks_10s,10s,Human,Human,0.038,0.962,Human,0.011,0.989
human_track_024.mp3,human_tracks_10s,10s,Human,Human,0.027,0.973,Human,0.011,0.989
human_track_025.mp3,human_tracks_10s,10s,Human,Human,0.06,0.94,Human,0.011,0.989
human_track_026.mp3,human_tracks_10s,10s,Human,Human,0.009,0.991,Human,0.011,0.989
human_track_027.mp3,human_tracks_10s,10s,Human,Human,0.002,0.998,Human,0.011,0.989
human_track_028.mp3,human_tracks_10s,10s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_029.mp3,human_tracks_10s,10s,Human,Human,0.003,0.997,Human,0.011,0.989
human_track_030.mp3,human_tracks_10s,10s,Human,Human,0.0,1.0,Human,0.011,0.989
human_track_031.mp3,human_tracks_10s,10s,Human,Human,0.009,0.991,Human,0.011,0.989
human_track_032.mp3,human_tracks_10s,10s,Human,Human,0.005,0.995,Human,0.011,0.989
human_track_033.mp3,human_tracks_10s,10s,Human,Human,0.021,0.979,Human,0.011,0.989
human_track_034.mp3,human_tracks_10s,10s,Human,Human,0.05,0.95,Human,0.011,0.989
human_track_035.mp3,human_tracks_10s,10s,Human,Human,0.001,0.999,Human,0.011,0.989
human_track_036.mp3,human_tracks_10s,10s,Human,Human,0.071,0.929,Human,0.011,0.989
human_track_037.mp3,human_tracks_10s,10s,Human,Human,0.001,0.999,Human,0.011,0.989
