Filename,Label,Codec,Source_File,Source_Directory,Track_ID
human_tracks_120s_human_track_001_clean.mp3,Human,Clean,human_track_001.mp3,human_tracks_120s,human_tracks_120s_human_track_001
human_tracks_120s_human_track_001_aac.m4a,Human,AAC,human_track_001.mp3,human_tracks_120s,human_tracks_120s_human_track_001
human_tracks_120s_human_track_001_opus.opus,Human,Opus,human_track_001.mp3,human_tracks_120s,human_tracks_120s_human_track_001
human_tracks_120s_human_track_002_clean.mp3,Human,Clean,human_track_002.mp3,human_tracks_120s,human_tracks_120s_human_track_002
human_tracks_120s_human_track_002_aac.m4a,Human,AAC,human_track_002.mp3,human_tracks_120s,human_tracks_120s_human_track_002
human_tracks_120s_human_track_002_opus.opus,Human,Opus,human_track_002.mp3,human_tracks_120s,human_tracks_120s_human_track_002
human_tracks_120s_human_track_003_clean.mp3,Human,Clean,human_track_003.mp3,human_tracks_120s,human_tracks_120s_human_track_003
human_tracks_120s_human_track_003_aac.m4a,Human,AAC,human_track_003.mp3,human_tracks_120s,human_tracks_120s_human_track_003
human_tracks_120s_human_track_003_opus.opus,Human,Opus,human_track_003.mp3,human_tracks_120s,human_tracks_120s_human_track_003
human_tracks_120s_human_track_004_clean.mp3,Human,Clean,human_track_004.mp3,human_tracks_120s,human_tracks_120s_human_track_004
human_tracks_120s_human_track_004_aac.m4a,Human,AAC,human_track_004.mp3,human_tracks_120s,human_tracks_120s_human_track_004
human_tracks_120s_human_track_004_opus.opus,Human,Opus,human_track_004.mp3,human_tracks_120s,human_tracks_120s_human_track_004
human_tracks_120s_human_track_005_clean.mp3,Human,Clean,human_track_005.mp3,human_tracks_120s,human_tracks_120s_human_track_005
human_tracks_120s_human_track_005_aac.m4a,Human,AAC,human_track_005.mp3,human_tracks_120s,human_tracks_120s_human_track_005
human_tracks_120s_human_track_005_opus.opus,Human,Opus,human_track_005.mp3,human_tracks_120s,human_tracks_120s_human_track_005
human_tracks_120s_human_track_006_clean.mp3,Human,Clean,human_track_006.mp3,human_tracks_120s,human_tracks_120s_human_track_006
human_tracks_120s_human_track_006_aac.m4a,Human,AAC,human_track_006.mp3,human_tracks_120s,human_tracks_120s_human_track_006
human_tracks_120s_human_track_006_opus.opus,Human,Opus,human_track_006.mp3,human_tracks_120s,human_tracks_120s_human_track_006
human_tracks_120s_human_track_007_clean.mp3,Human,Clean,human_track_007.mp3,human_tracks_120s,human_tracks_120s_human_track_007
