id,channel,title,duration
7BfIeqpLZpM,Corey Heuvel,Slow Dancing In a Burning Room | John Mayer (acoustic cover),259
8nWNpMKHMQA,The Acoustic Room,The Killers - Mr. Brightside (Acoustic Cover) by Sinclair,222
J5u0HP6XzXA,The Acoustic Room,The Outfield - Your Love (Acoustic Cover) by Adina V,154
WFeFUG-bEew,JULIA WOLF,Julia Wolf - In My Room [Acoustic],174
TDXXm3p1j30,Lumï,Chasing Silhouettes - Lumï (acoustic bedroom version),180
Ygc7Qqi1L7o,Derek Cate,Bon Jovi - Bed of Roses (Acoustic) Cover by Derek Cate,291
onUQz6vdk9A,Derek Cate,BED OF ROSES - Bon Jovi (Derek Cate acoustic cover),232
jbQztKWzuAA,Abbie Callahan,Abbie Callahan - Simon Says (Bedroom Acoustic Video),189
RHFXGqQa9qo,chiipasa,"Call Her Daddy - John Mayer's ""Slow Dancing in a Burning Room"" Acoustic REMASTERED",236
y5PaV5zIaD4,Megan Eagleson,Bed On Fire - Teddy Swims (Acoustic Cover) feat. @ChaseEaglesonOfficial and @SierraEagleson,270
nV5J5J-SXdk,Nate Vickers,"Bad Omens ""Just Pretend"" (Acoustic Cover)",208
e9YZvyinEpY,Sam Mangubat,California King Bed (Acoustic Cover),219
fxUnHU5hIWQ,Kiele Mae,Bedroom Pop - an original song,157
Eas1uMC44YI,LovePierre,"""Teenagers Years"" Indie Bedroom Pop / Russian Post-Punk",107
IyXzgTqU5fg,Dan Darmawan,"[sold] Indie x Bedroom Pop x Dream Pop Type Beat - ""time""",267
-MtAWWWQyyc,Velvet & Keys,[Original Song] Watering The Ferns | Lofi Indie & Bedroom Pop Vibes*,182
lEAiKWlauQI,Brxn,"a bedroom pop vibey garage song "" Reality"" [Original Song]",201
r2FhKboWONQ,Crying is good,When You Were Here | Emotional Indie Bedroom Pop (Official Audio),199
LrB4RAzBX84,Crying is good,Maybe I'm Alright | Emotional Indie Bedroom Pop (Official Audio),179
5QQEiFUMr24,Micro Melodies,Stay A Little Longer ❤️ | Original English Romantic Song | Bedroom Pop x Dream Pop | Micro Melodies,250
_NJo9oGrFyk,Jit Music,If I Clean the Room | Original Bedroom Pop | Jit Music,165
